,id,churn_probability,churn_probability_pred_LR,churn_probability_pred_RF,churn_probability_pred_DC,churn_probability_pred_XG
71,70070,0,0.0,0.0,0.0,0
72,70071,0,0.0,0.0,0.0,0
73,70072,0,0.0,0.0,0.0,0
74,70073,1,0.0,1.0,0.0,0
75,70074,0,0.0,0.0,0.0,0
76,70075,0,0.0,0.0,0.0,0
77,70076,0,0.0,0.0,0.0,0
78,70077,1,0.0,0.0,0.0,0
79,70078,1,1.0,1.0,1.0,1
80,70079,0,0.0,0.0,0.0,0
81,70080,0,0.0,0.0,0.0,0
82,70081,1,0.0,1.0,0.0,0
83,70082,1,0.0,0.0,1.0,0
84,70083,0,0.0,0.0,0.0,0
85,70084,0,0.0,0.0,0.0,0
86,70085,0,1.0,1.0,1.0,1
87,70086,0,0.0,0.0,0.0,0
88,70087,0,0.0,0.0,0.0,0
89,70088,0,0.0,0.0,0.0,0
90,70089,0,0.0,0.0,0.0,0
91,70090,0,0.0,0.0,0.0,0
92,70091,0,0.0,0.0,0.0,0
93,70092,0,0.0,0.0,0.0,0
94,70093,0,0.0,0.0,0.0,0
95,70094,0,0.0,0.0,0.0,0
96,70095,1,0.0,1.0,1.0,1
97,70096,0,0.0,0.0,0.0,0
98,70097,0,0.0,0.0,0.0,0
99,70098,0,0.0,0.0,0.0,0
100,70099,0,0.0,0.0,0.0,0
101,70100,0,0.0,0.0,0.0,0
102,70101,0,0.0,0.0,0.0,0
103,70102,0,0.0,0.0,0.0,0
104,70103,0,0.0,0.0,0.0,0
105,70104,0,0.0,0.0,0.0,0
106,70105,0,0.0,0.0,0.0,0
107,70106,0,0.0,0.0,0.0,0
108,70107,0,0.0,0.0,0.0,0
109,70108,0,0.0,0.0,0.0,0
110,70109,0,0.0,0.0,0.0,0
111,70110,0,0.0,0.0,0.0,0
112,70111,1,1.0,1.0,0.0,0
113,70112,0,0.0,0.0,0.0,0
114,70113,0,0.0,0.0,0.0,0
115,70114,0,0.0,0.0,0.0,0
116,70115,1,0.0,0.0,0.0,0
117,70116,1,1.0,0.0,0.0,0
118,70117,0,0.0,0.0,0.0,0
119,70118,1,1.0,1.0,1.0,1
120,70119,0,0.0,0.0,0.0,0
121,70120,0,0.0,0.0,0.0,0
122,70121,0,0.0,0.0,0.0,0
123,70122,0,0.0,0.0,0.0,0
124,70123,0,0.0,0.0,0.0,0
125,70124,0,0.0,0.0,0.0,0
126,70125,0,0.0,0.0,0.0,0
127,70126,0,0.0,0.0,0.0,0
128,70127,1,0.0,1.0,1.0,1
129,70128,0,0.0,0.0,0.0,0
130,70129,0,0.0,0.0,0.0,0
131,70130,1,0.0,0.0,1.0,0
132,70131,1,0.0,0.0,0.0,0
133,70132,0,0.0,0.0,0.0,0
134,70133,0,0.0,0.0,0.0,0
135,70134,0,0.0,0.0,0.0,0
136,70135,0,0.0,0.0,0.0,0
137,70136,0,0.0,0.0,0.0,0
138,70137,1,0.0,0.0,0.0,0
139,70138,0,0.0,0.0,0.0,0
140,70139,0,0.0,0.0,0.0,0
141,70140,1,1.0,0.0,0.0,0
142,70141,0,0.0,0.0,0.0,0
143,70142,0,0.0,0.0,0.0,0
144,70143,0,0.0,0.0,0.0,0
145,70144,0,0.0,0.0,0.0,0
146,70145,0,0.0,0.0,0.0,0
147,70146,0,0.0,0.0,0.0,0
148,70147,0,0.0,0.0,0.0,0
149,70148,0,0.0,0.0,0.0,0
150,70149,0,0.0,0.0,0.0,0
151,70150,0,0.0,0.0,0.0,0
152,70151,0,0.0,0.0,0.0,0
153,70152,0,0.0,0.0,0.0,0
154,70153,1,0.0,0.0,0.0,0
155,70154,0,0.0,0.0,0.0,0
156,70155,0,0.0,0.0,0.0,0
157,70156,0,0.0,0.0,0.0,0
158,70157,0,0.0,0.0,0.0,0
159,70158,0,0.0,1.0,1.0,1
160,70159,0,0.0,0.0,0.0,0
161,70160,0,0.0,0.0,0.0,0
162,70161,0,0.0,0.0,0.0,0
163,70162,0,0.0,0.0,0.0,0
164,70163,0,0.0,0.0,0.0,0
165,70164,0,0.0,0.0,0.0,0
166,70165,0,0.0,0.0,0.0,0
167,70166,0,0.0,0.0,0.0,0
168,70167,0,0.0,0.0,0.0,0
169,70168,0,0.0,0.0,0.0,0
170,70169,0,0.0,0.0,0.0,0
171,70170,0,1.0,0.0,0.0,0
172,70171,0,0.0,0.0,0.0,0
173,70172,0,0.0,0.0,0.0,0
174,70173,0,0.0,0.0,0.0,0
175,70174,0,0.0,0.0,0.0,0
176,70175,0,0.0,0.0,0.0,0
177,70176,0,0.0,0.0,0.0,0
178,70177,0,0.0,0.0,0.0,0
179,70178,0,0.0,0.0,0.0,0
180,70179,0,0.0,0.0,0.0,0
181,70180,0,1.0,0.0,0.0,0
182,70181,0,0.0,0.0,0.0,0
183,70182,0,0.0,0.0,0.0,0
184,70183,0,0.0,0.0,0.0,0
185,70184,0,0.0,1.0,1.0,1
186,70185,0,0.0,0.0,0.0,0
187,70186,0,0.0,0.0,0.0,0
188,70187,0,0.0,0.0,0.0,0
189,70188,0,0.0,0.0,0.0,0
190,70189,0,0.0,0.0,0.0,0
191,70190,0,0.0,0.0,0.0,0
192,70191,0,0.0,0.0,0.0,0
193,70192,0,0.0,0.0,0.0,0
194,70193,0,0.0,0.0,0.0,0
195,70194,0,0.0,0.0,0.0,0
196,70195,0,0.0,0.0,0.0,0
197,70196,0,0.0,0.0,0.0,0
198,70197,0,1.0,0.0,0.0,0
199,70198,0,0.0,0.0,0.0,0
200,70199,0,0.0,0.0,0.0,0
201,70200,0,0.0,0.0,0.0,0
202,70201,0,0.0,0.0,0.0,0
203,70202,1,0.0,1.0,1.0,1
204,70203,1,0.0,1.0,1.0,1
205,70204,0,0.0,0.0,0.0,0
206,70205,0,0.0,0.0,0.0,0
207,70206,0,0.0,0.0,0.0,0
208,70207,0,0.0,0.0,0.0,0
209,70208,1,1.0,0.0,0.0,0
210,70209,0,0.0,0.0,0.0,0
211,70210,0,0.0,0.0,1.0,0
212,70211,0,0.0,0.0,0.0,0
213,70212,0,0.0,0.0,0.0,0
214,70213,0,0.0,0.0,0.0,0
215,70214,0,0.0,0.0,0.0,0
216,70215,0,0.0,0.0,0.0,0
217,70216,0,0.0,0.0,0.0,0
218,70217,0,0.0,0.0,0.0,0
219,70218,0,0.0,0.0,0.0,0
220,70219,0,0.0,0.0,0.0,0
221,70220,1,0.0,0.0,0.0,0
222,70221,0,1.0,0.0,0.0,0
223,70222,0,0.0,0.0,0.0,0
224,70223,0,0.0,0.0,0.0,0
225,70224,0,0.0,0.0,0.0,0
226,70225,0,0.0,0.0,0.0,0
227,70226,0,1.0,0.0,0.0,0
228,70227,0,0.0,0.0,0.0,0
229,70228,1,0.0,0.0,0.0,0
230,70229,0,1.0,0.0,0.0,0
231,70230,0,0.0,0.0,0.0,0
232,70231,0,0.0,0.0,0.0,0
233,70232,0,0.0,0.0,0.0,0
234,70233,0,0.0,0.0,0.0,0
235,70234,0,0.0,0.0,0.0,0
236,70235,0,0.0,0.0,0.0,0
237,70236,0,0.0,0.0,0.0,0
238,70237,1,0.0,0.0,0.0,0
239,70238,0,0.0,0.0,1.0,0
240,70239,0,0.0,0.0,0.0,0
241,70240,0,0.0,0.0,0.0,0
242,70241,0,0.0,0.0,0.0,0
243,70242,0,0.0,0.0,0.0,0
244,70243,0,0.0,0.0,0.0,0
245,70244,1,0.0,0.0,0.0,0
246,70245,0,0.0,0.0,0.0,0
247,70246,0,0.0,0.0,0.0,0
248,70247,0,0.0,0.0,0.0,0
249,70248,0,0.0,0.0,0.0,0
250,70249,0,0.0,0.0,0.0,0
251,70250,0,0.0,0.0,0.0,0
252,70251,0,0.0,0.0,0.0,0
253,70252,0,0.0,0.0,0.0,0
254,70253,0,0.0,0.0,0.0,0
255,70254,0,0.0,0.0,0.0,0
256,70255,0,0.0,0.0,0.0,0
257,70256,0,0.0,0.0,0.0,0
258,70257,0,0.0,0.0,0.0,0
259,70258,0,0.0,0.0,0.0,0
260,70259,0,0.0,0.0,0.0,0
261,70260,0,0.0,0.0,0.0,0
262,70261,0,0.0,0.0,0.0,0
263,70262,0,0.0,0.0,0.0,0
264,70263,0,0.0,0.0,0.0,0
265,70264,0,0.0,0.0,0.0,0
266,70265,0,0.0,0.0,0.0,0
267,70266,1,0.0,1.0,1.0,1
268,70267,1,0.0,0.0,0.0,0
269,70268,0,0.0,0.0,0.0,0
270,70269,0,0.0,0.0,0.0,0
271,70270,0,1.0,1.0,1.0,1
272,70271,0,0.0,0.0,0.0,0
273,70272,0,0.0,0.0,0.0,0
274,70273,0,0.0,0.0,0.0,0
275,70274,0,0.0,0.0,0.0,0
276,70275,0,0.0,0.0,0.0,0
277,70276,0,1.0,0.0,0.0,0
278,70277,0,0.0,0.0,0.0,0
279,70278,0,0.0,0.0,0.0,0
280,70279,0,0.0,0.0,0.0,0
281,70280,0,0.0,0.0,0.0,0
282,70281,0,0.0,0.0,0.0,0
283,70282,1,0.0,0.0,0.0,0
284,70283,0,1.0,1.0,1.0,1
285,70284,1,0.0,0.0,1.0,1
286,70285,0,0.0,0.0,0.0,0
287,70286,0,0.0,0.0,0.0,0
288,70287,0,0.0,0.0,0.0,0
289,70288,0,0.0,0.0,0.0,0
290,70289,0,0.0,0.0,0.0,0
291,70290,0,0.0,0.0,0.0,0
292,70291,0,1.0,0.0,0.0,0
293,70292,0,0.0,0.0,0.0,0
294,70293,0,0.0,0.0,0.0,0
295,70294,0,0.0,0.0,0.0,0
296,70295,0,0.0,0.0,0.0,0
297,70296,0,0.0,0.0,0.0,0
298,70297,0,0.0,0.0,0.0,0
299,70298,0,0.0,0.0,0.0,0
300,70299,0,0.0,0.0,0.0,0
301,70300,0,1.0,1.0,1.0,1
302,70301,0,0.0,0.0,0.0,0
303,70302,0,0.0,0.0,0.0,0
304,70303,0,0.0,0.0,0.0,0
305,70304,0,1.0,0.0,0.0,0
306,70305,0,0.0,0.0,0.0,0
307,70306,0,0.0,0.0,0.0,0
308,70307,0,0.0,0.0,0.0,0
309,70308,0,0.0,0.0,0.0,0
310,70309,0,0.0,0.0,0.0,0
311,70310,0,0.0,0.0,0.0,0
312,70311,0,0.0,0.0,0.0,0
313,70312,0,0.0,0.0,0.0,0
314,70313,0,0.0,0.0,0.0,0
315,70314,0,0.0,0.0,0.0,0
316,70315,0,0.0,0.0,0.0,0
317,70316,0,0.0,0.0,0.0,0
318,70317,0,0.0,0.0,0.0,0
319,70318,0,0.0,0.0,0.0,0
320,70319,0,0.0,0.0,0.0,0
321,70320,0,0.0,0.0,0.0,0
322,70321,0,0.0,0.0,0.0,0
323,70322,0,0.0,0.0,0.0,0
324,70323,0,0.0,0.0,0.0,0
325,70324,0,0.0,0.0,0.0,0
326,70325,0,0.0,0.0,0.0,0
327,70326,0,0.0,0.0,0.0,0
328,70327,0,0.0,0.0,0.0,0
329,70328,0,1.0,1.0,1.0,1
330,70329,0,0.0,0.0,0.0,0
331,70330,0,0.0,0.0,0.0,0
332,70331,0,0.0,0.0,0.0,0
333,70332,0,0.0,0.0,0.0,0
334,70333,0,0.0,0.0,0.0,0
335,70334,0,0.0,0.0,0.0,0
336,70335,0,0.0,0.0,0.0,0
337,70336,0,0.0,0.0,0.0,0
338,70337,0,0.0,0.0,0.0,0
339,70338,1,1.0,0.0,1.0,0
340,70339,1,0.0,1.0,1.0,1
341,70340,0,0.0,0.0,0.0,0
342,70341,0,0.0,0.0,0.0,0
343,70342,0,0.0,0.0,0.0,0
344,70343,0,0.0,0.0,0.0,0
345,70344,1,0.0,1.0,1.0,1
346,70345,0,0.0,0.0,0.0,0
347,70346,0,0.0,0.0,0.0,0
348,70347,0,1.0,0.0,0.0,0
349,70348,0,0.0,0.0,0.0,0
350,70349,0,0.0,0.0,0.0,0
351,70350,1,1.0,1.0,1.0,1
352,70351,0,0.0,0.0,0.0,0
353,70352,0,0.0,0.0,0.0,0
354,70353,0,0.0,0.0,0.0,0
355,70354,0,0.0,0.0,0.0,0
356,70355,0,0.0,0.0,0.0,0
357,70356,0,0.0,0.0,0.0,0
358,70357,0,0.0,0.0,0.0,0
359,70358,0,0.0,0.0,0.0,0
360,70359,0,1.0,1.0,1.0,1
361,70360,0,0.0,0.0,0.0,0
362,70361,0,0.0,0.0,0.0,0
363,70362,0,0.0,0.0,0.0,0
364,70363,0,0.0,0.0,0.0,0
365,70364,0,0.0,0.0,0.0,0
366,70365,0,0.0,0.0,0.0,0
367,70366,0,0.0,0.0,0.0,0
368,70367,0,0.0,0.0,0.0,0
369,70368,0,0.0,0.0,0.0,0
370,70369,0,0.0,0.0,0.0,0
371,70370,0,0.0,0.0,0.0,0
372,70371,0,0.0,0.0,0.0,0
373,70372,0,0.0,0.0,0.0,0
374,70373,0,0.0,0.0,0.0,0
375,70374,0,0.0,0.0,0.0,0
376,70375,0,0.0,0.0,0.0,0
377,70376,0,0.0,0.0,0.0,0
378,70377,0,0.0,0.0,0.0,0
379,70378,0,0.0,0.0,0.0,0
380,70379,0,0.0,0.0,0.0,0
381,70380,0,0.0,0.0,0.0,0
382,70381,0,0.0,0.0,0.0,0
383,70382,0,0.0,0.0,0.0,0
384,70383,0,1.0,1.0,1.0,1
385,70384,0,0.0,0.0,0.0,0
386,70385,0,0.0,0.0,0.0,0
387,70386,0,0.0,0.0,0.0,0
388,70387,0,0.0,0.0,0.0,0
389,70388,0,0.0,0.0,0.0,0
390,70389,0,0.0,0.0,0.0,0
391,70390,0,0.0,0.0,0.0,0
392,70391,1,0.0,0.0,0.0,0
393,70392,0,0.0,0.0,0.0,0
394,70393,0,0.0,0.0,0.0,0
395,70394,0,0.0,0.0,0.0,0
396,70395,0,0.0,0.0,0.0,0
397,70396,0,0.0,0.0,0.0,0
398,70397,0,0.0,0.0,0.0,0
399,70398,0,0.0,0.0,0.0,0
400,70399,0,0.0,0.0,0.0,0
401,70400,0,0.0,0.0,0.0,0
402,70401,0,0.0,0.0,0.0,0
403,70402,0,0.0,0.0,0.0,0
404,70403,0,0.0,0.0,0.0,0
405,70404,0,0.0,0.0,0.0,0
406,70405,1,0.0,0.0,0.0,0
407,70406,0,0.0,0.0,0.0,0
408,70407,0,0.0,0.0,0.0,0
409,70408,0,0.0,0.0,0.0,0
410,70409,0,0.0,0.0,0.0,0
411,70410,0,0.0,0.0,0.0,0
412,70411,1,0.0,0.0,0.0,0
413,70412,0,0.0,0.0,0.0,0
414,70413,0,0.0,0.0,0.0,0
415,70414,0,0.0,0.0,0.0,0
416,70415,0,0.0,0.0,0.0,0
417,70416,0,0.0,0.0,0.0,0
418,70417,0,0.0,0.0,0.0,0
419,70418,0,0.0,1.0,0.0,1
420,70419,0,0.0,0.0,0.0,0
421,70420,0,0.0,0.0,0.0,0
422,70421,1,0.0,0.0,0.0,0
423,70422,0,1.0,1.0,1.0,1
424,70423,0,0.0,0.0,0.0,0
425,70424,0,0.0,0.0,0.0,0
426,70425,0,0.0,0.0,0.0,0
427,70426,0,0.0,0.0,0.0,0
428,70427,0,0.0,0.0,0.0,0
429,70428,0,0.0,0.0,0.0,0
430,70429,0,0.0,0.0,0.0,0
431,70430,0,0.0,0.0,0.0,0
432,70431,0,0.0,0.0,0.0,0
433,70432,0,0.0,0.0,0.0,0
434,70433,0,0.0,0.0,0.0,0
435,70434,0,0.0,0.0,0.0,0
436,70435,0,0.0,0.0,0.0,0
437,70436,0,0.0,0.0,0.0,0
438,70437,1,0.0,1.0,1.0,0
439,70438,0,0.0,0.0,0.0,0
440,70439,0,0.0,0.0,0.0,0
441,70440,0,1.0,0.0,0.0,0
442,70441,0,0.0,0.0,0.0,0
443,70442,0,0.0,0.0,0.0,0
444,70443,0,0.0,0.0,0.0,0
445,70444,1,0.0,0.0,0.0,0
446,70445,0,0.0,0.0,0.0,0
447,70446,0,0.0,0.0,0.0,0
448,70447,1,0.0,0.0,1.0,0
449,70448,1,0.0,0.0,0.0,0
450,70449,0,0.0,0.0,0.0,0
451,70450,0,0.0,0.0,0.0,0
452,70451,0,0.0,0.0,0.0,0
453,70452,0,0.0,0.0,0.0,0
454,70453,0,0.0,0.0,0.0,0
455,70454,0,1.0,0.0,0.0,0
456,70455,0,0.0,0.0,0.0,0
457,70456,0,0.0,0.0,0.0,0
458,70457,0,0.0,0.0,0.0,0
459,70458,0,0.0,0.0,0.0,0
460,70459,0,1.0,0.0,1.0,0
461,70460,0,0.0,0.0,0.0,0
462,70461,0,0.0,0.0,0.0,0
463,70462,1,1.0,1.0,1.0,1
464,70463,1,1.0,1.0,1.0,1
465,70464,0,0.0,0.0,0.0,0
466,70465,0,0.0,0.0,0.0,0
467,70466,0,0.0,0.0,0.0,0
468,70467,0,0.0,0.0,0.0,0
469,70468,0,0.0,0.0,0.0,0
470,70469,0,0.0,0.0,0.0,0
471,70470,0,0.0,0.0,0.0,0
472,70471,0,0.0,0.0,0.0,0
473,70472,0,0.0,0.0,0.0,0
474,70473,0,0.0,0.0,0.0,0
475,70474,0,0.0,0.0,0.0,0
476,70475,0,0.0,0.0,0.0,0
477,70476,0,0.0,0.0,0.0,0
478,70477,0,0.0,0.0,0.0,0
479,70478,0,0.0,0.0,0.0,0
480,70479,0,0.0,0.0,0.0,0
481,70480,0,0.0,0.0,0.0,0
482,70481,0,0.0,0.0,0.0,0
483,70482,1,0.0,0.0,0.0,0
484,70483,0,0.0,0.0,0.0,0
485,70484,0,0.0,0.0,0.0,0
486,70485,0,0.0,0.0,0.0,0
487,70486,0,0.0,0.0,0.0,0
488,70487,0,0.0,0.0,0.0,0
489,70488,0,0.0,0.0,0.0,0
490,70489,0,0.0,0.0,0.0,0
491,70490,1,0.0,0.0,0.0,0
492,70491,0,0.0,0.0,0.0,0
493,70492,0,0.0,0.0,0.0,0
494,70493,0,0.0,0.0,0.0,0
495,70494,0,0.0,0.0,0.0,0
496,70495,0,0.0,0.0,0.0,0
497,70496,0,0.0,0.0,0.0,0
498,70497,0,0.0,0.0,1.0,1
499,70498,0,0.0,0.0,0.0,0
500,70499,1,1.0,1.0,1.0,1
501,70500,0,1.0,1.0,0.0,1
502,70501,0,0.0,0.0,0.0,0
503,70502,0,0.0,0.0,0.0,0
504,70503,0,0.0,0.0,0.0,0
505,70504,0,0.0,0.0,0.0,0
506,70505,0,0.0,0.0,0.0,0
507,70506,0,0.0,0.0,0.0,0
508,70507,0,0.0,0.0,0.0,0
509,70508,0,0.0,0.0,0.0,0
510,70509,0,0.0,0.0,0.0,0
511,70510,0,0.0,0.0,0.0,0
512,70511,0,0.0,0.0,0.0,0
513,70512,1,1.0,0.0,0.0,0
514,70513,0,0.0,0.0,0.0,0
515,70514,0,0.0,0.0,0.0,0
516,70515,0,0.0,0.0,0.0,0
517,70516,0,0.0,0.0,0.0,0
518,70517,0,0.0,0.0,0.0,0
519,70518,0,0.0,0.0,0.0,0
520,70519,0,0.0,0.0,0.0,0
521,70520,0,0.0,0.0,0.0,0
522,70521,1,0.0,0.0,0.0,0
523,70522,0,0.0,0.0,0.0,0
524,70523,0,0.0,0.0,0.0,0
525,70524,0,0.0,0.0,0.0,0
526,70525,0,0.0,0.0,0.0,0
527,70526,0,0.0,0.0,0.0,0
528,70527,0,0.0,0.0,0.0,0
529,70528,0,0.0,0.0,0.0,0
530,70529,0,0.0,0.0,0.0,0
531,70530,0,0.0,0.0,0.0,0
532,70531,1,0.0,1.0,1.0,1
533,70532,0,0.0,0.0,0.0,0
534,70533,0,0.0,0.0,0.0,0
535,70534,0,0.0,0.0,0.0,0
536,70535,0,0.0,0.0,0.0,0
537,70536,1,0.0,0.0,0.0,0
538,70537,0,0.0,0.0,0.0,0
539,70538,1,0.0,0.0,1.0,0
540,70539,0,0.0,0.0,0.0,0
541,70540,0,0.0,0.0,0.0,0
542,70541,0,0.0,0.0,0.0,0
543,70542,0,0.0,0.0,0.0,0
544,70543,0,0.0,0.0,0.0,0
545,70544,0,0.0,0.0,0.0,0
546,70545,0,0.0,0.0,0.0,0
547,70546,0,0.0,0.0,0.0,0
548,70547,1,1.0,1.0,1.0,1
549,70548,0,0.0,0.0,0.0,0
550,70549,0,0.0,0.0,0.0,0
551,70550,0,0.0,0.0,0.0,0
552,70551,0,0.0,0.0,0.0,0
553,70552,0,0.0,0.0,0.0,0
554,70553,0,0.0,0.0,0.0,0
555,70554,0,0.0,0.0,0.0,0
556,70555,0,0.0,0.0,0.0,0
557,70556,0,0.0,0.0,0.0,0
558,70557,0,0.0,0.0,0.0,0
559,70558,0,0.0,0.0,0.0,0
560,70559,0,0.0,0.0,0.0,0
561,70560,0,0.0,0.0,0.0,0
562,70561,0,0.0,0.0,0.0,0
563,70562,0,0.0,0.0,0.0,0
564,70563,0,0.0,0.0,0.0,0
565,70564,0,0.0,0.0,0.0,0
566,70565,0,0.0,0.0,0.0,0
567,70566,0,0.0,0.0,0.0,0
568,70567,1,1.0,0.0,0.0,0
569,70568,0,0.0,0.0,0.0,0
570,70569,0,0.0,0.0,0.0,0
571,70570,0,0.0,0.0,0.0,0
572,70571,0,0.0,0.0,0.0,0
573,70572,0,0.0,0.0,0.0,0
574,70573,0,1.0,0.0,0.0,0
575,70574,0,0.0,0.0,0.0,0
576,70575,0,0.0,0.0,0.0,0
577,70576,0,0.0,0.0,0.0,0
578,70577,0,0.0,0.0,0.0,0
579,70578,0,0.0,0.0,0.0,0
580,70579,0,1.0,0.0,0.0,0
581,70580,0,0.0,0.0,0.0,0
582,70581,0,0.0,0.0,0.0,0
583,70582,0,0.0,0.0,0.0,0
584,70583,1,0.0,1.0,1.0,1
585,70584,0,0.0,0.0,0.0,0
586,70585,0,1.0,0.0,0.0,0
587,70586,0,0.0,0.0,0.0,0
588,70587,1,1.0,1.0,1.0,1
589,70588,0,0.0,0.0,0.0,0
590,70589,0,0.0,0.0,0.0,0
591,70590,0,0.0,0.0,0.0,0
592,70591,0,0.0,0.0,0.0,0
593,70592,0,0.0,0.0,0.0,0
594,70593,0,0.0,0.0,0.0,0
595,70594,0,0.0,0.0,0.0,0
596,70595,0,0.0,0.0,0.0,0
597,70596,0,0.0,0.0,0.0,0
598,70597,0,0.0,0.0,0.0,0
599,70598,0,0.0,0.0,0.0,0
600,70599,0,0.0,0.0,0.0,0
601,70600,0,0.0,0.0,0.0,1
602,70601,0,0.0,0.0,0.0,0
603,70602,0,0.0,0.0,0.0,0
604,70603,0,0.0,0.0,0.0,0
605,70604,0,0.0,0.0,0.0,0
606,70605,0,0.0,0.0,0.0,0
607,70606,0,0.0,0.0,0.0,0
608,70607,0,0.0,1.0,0.0,1
609,70608,0,0.0,0.0,0.0,0
610,70609,0,1.0,0.0,0.0,0
611,70610,1,0.0,1.0,1.0,1
612,70611,1,0.0,0.0,0.0,0
613,70612,0,0.0,0.0,0.0,0
614,70613,0,0.0,0.0,0.0,0
615,70614,0,0.0,0.0,0.0,0
616,70615,0,0.0,0.0,0.0,0
617,70616,0,0.0,0.0,0.0,0
618,70617,0,0.0,0.0,0.0,0
619,70618,0,0.0,0.0,0.0,0
620,70619,0,0.0,0.0,0.0,0
621,70620,0,0.0,0.0,0.0,0
622,70621,1,0.0,0.0,1.0,0
623,70622,0,0.0,0.0,0.0,0
624,70623,0,0.0,0.0,0.0,0
625,70624,0,0.0,0.0,0.0,0
626,70625,0,0.0,0.0,0.0,0
627,70626,1,0.0,1.0,1.0,1
628,70627,1,1.0,1.0,1.0,1
629,70628,0,0.0,0.0,0.0,0
630,70629,0,0.0,0.0,0.0,0
631,70630,0,0.0,0.0,0.0,0
632,70631,0,0.0,0.0,0.0,0
633,70632,0,0.0,0.0,0.0,0
634,70633,0,0.0,0.0,0.0,0
635,70634,0,0.0,0.0,0.0,0
636,70635,0,0.0,0.0,0.0,0
637,70636,0,0.0,0.0,0.0,0
638,70637,0,0.0,0.0,0.0,0
639,70638,0,0.0,0.0,0.0,0
640,70639,0,1.0,0.0,0.0,0
641,70640,0,1.0,1.0,1.0,1
642,70641,0,0.0,0.0,0.0,0
643,70642,0,1.0,1.0,1.0,1
644,70643,0,0.0,0.0,0.0,0
645,70644,0,0.0,0.0,0.0,0
646,70645,0,0.0,0.0,0.0,0
647,70646,0,0.0,0.0,0.0,0
648,70647,0,0.0,0.0,0.0,0
649,70648,0,0.0,0.0,0.0,0
650,70649,0,1.0,0.0,0.0,0
651,70650,0,0.0,0.0,0.0,0
652,70651,0,0.0,0.0,0.0,0
653,70652,1,0.0,0.0,0.0,0
654,70653,0,0.0,0.0,0.0,0
655,70654,0,0.0,0.0,0.0,0
656,70655,0,0.0,0.0,0.0,0
657,70656,0,0.0,0.0,0.0,0
658,70657,0,0.0,0.0,0.0,0
659,70658,0,0.0,0.0,0.0,0
660,70659,0,1.0,0.0,0.0,0
